"Ranks","Titles","Release.Date","Price","Score","Player.Ratings","Number.of.Votes"
" 239","The Walking Dead: The Telltale Definitive Series","29 Oct 2020","$49.99","8.46","97%","23,814"
" 240","Mark of the Ninja","19 Feb 2024","$19.99","8.46","97%","15,812"
" 241","Please, Touch The Artwork 2","18 Dec 2020","Free","8.46","99%","3,495"
" 242","Riddle Joker","20 Aug 2023","$20.29","8.46","98%","5,599"
" 243","Arrow a Row","14 Oct 2020","Free","8.46","97%","15,396"
" 244","Cube Escape Collection","14 Jan 2021","$4.99","8.46","98%","6,251"
" 245","Word Game: Episode 0","15 Nov 2018","Free","8.46","99%","4,523"
" 246","Zup! S","28 Jul 2023","$1.99","8.46","97%","14,268"
" 247","Pseudoregalia","18 Apr 2016","$5.99","8.46","97%","12,163"
" 248","Danganronpa 2: Goodbye Despair","27 Apr 2016","$19.99","8.46","96%","25,236"
" 249","Ori and the Blind Forest: Definitive Edition","10 Aug 2022","$19.99","8.46","95%","64,476"
" 250","Lost in Play","27 April 2017","$7.99","8.46","98%","6,073"
